from,to,Direction,Target,Source
bai_859,bai_909,Directed,3,1
bao_27,zhou_1109,Undirected,656,4
zhou_75,bao_445,Directed,5,675
huang_990,cai_1028,Directed,7,175
lu_1222,cai_1072,Directed,8,269
cai_1293,cai_634,Directed,13,11
cai_855,cai_856,Directed,15,14
lin_737,cai_935,Directed,16,243
cao_1232,cao_275,Undirected,19,17
hu_342,cao_468,Directed,21,152
chang_809,xiao_270,Undirected,455,23
chen_53,chen_100,Directed,24,68
ding_520,chen_1025,Directed,25,102
chen_1040,chen_1127,Undirected,30,26
chen_1058,chen_1064,Undirected,28,27
hu_392,chen_1096,Directed,29,153
chen_1129,chen_1127,Undirected,30,31
chen_1129,chen_1132,Directed,32,31
chen_1129,chen_1134,Directed,33,31
chen_1129,chen_1135,Directed,34,31
chen_1040,chen_1136,Directed,35,26
chen_1129,chen_1138,Directed,36,31
chen_1180,ye_15,Undirected,535,38
chen_1194,jie_948,Undirected,185,39
xu_961,chen_1258,Directed,41,496
chen_126,yang_1238,Undirected,511,42
li_977,chen_1281,Directed,44,218
chen_1285,zhang_1046,Undirected,574,46
chen_1302,chen_1064,Undirected,28,47
lu_687,chen_1319,Directed,49,279
chen_590,chen_171,Directed,50,70
chen_1129,chen_191,Directed,51,31
chen_192,lin_745,Undirected,244,52
chen_1303,chen_203,Directed,53,48
chen_1303,chen_204,Directed,54,48
chen_1303,chen_205,Directed,55,48
chen_203,chen_206,Directed,56,53
chen_208,xu_207,Undirected,480,57
zhou_1109,chen_719,Undirected,73,656
chen_333,guo_21,Undirected,134,62
chen_450,liang_1229,Undirected,221,64
hu_392,chen_484,Directed,65,153
chen_509,zhang_847,Undirected,615,66
chen_620,bao_475,Undirected,6,71
chen_1284,chen_657,Directed,72,45
ye_263,cao_379,Directed,20,536
chi_849,chen_731,Directed,74,96
chen_1258,chen_77,Directed,75,41
ye_60,chen_259,Directed,58,539
liu_41,chen_799,Directed,76,259
chen_422,chen_844,Directed,79,63
chen_862,yu_438,Undirected,559,80
liu_41,chen_801,Directed,78,259
lin_622,chen_950,Directed,83,239
ding_521,chen_962,Directed,85,103
chen_979,chen_515,Undirected,67,86
chen_980,chen_515,Undirected,67,87
chen_987,chen_515,Undirected,67,88
cheng_347,yang_244,Undirected,514,90
yang_1238,cheng_463,Directed,91,511
zhong_748,chi_749,Directed,92,653
chi_849,chi_750,Directed,93,96
chi_849,chi_751,Directed,94,96
